commande_id,client_id,produit_id,quantite,prix_unitaire,montant_total,date_commande,statut,mode_paiement,region_livraison
CMD-Q1-00001,CLI0496,PRD0081,1,49.36,49.36,2024-03-18,annulée,CB,Occitanie
CMD-Q1-00002,CLI0305,PRD0058,5,118.62,593.1,2024-01-23,livrée,CB,Occitanie
CMD-Q1-00003,CLI0044,PRD0128,7,99.94,699.58,2024-01-15,livrée,PayPal,Nouvelle-Aquitaine
CMD-Q1-00004,CLI0381,PRD0061,8,75.83,606.64,2024-01-17,annulée,PayPal,PACA
CMD-Q1-00005,CLI0187,PRD0040,4,71.91,287.64,2024-03-20,en_cours,CB,Occitanie
CMD-Q1-00006,CLI0450,PRD0045,9,55.24,497.16,2024-01-08,livrée,CB,Auvergne-RA
CMD-Q1-00007,CLI0098,PRD0060,7,436.88,3058.16,2024-02-12,annulée,Virement,Auvergne-RA
CMD-Q1-00008,CLI0112,PRD0006,9,79.23,713.07,2024-03-03,livrée,CB,Île-de-France
CMD-Q1-00009,CLI0193,PRD0022,3,235.27,705.81,2024-03-24,livrée,Virement,Occitanie
CMD-Q1-00010,CLI0279,PRD0073,9,200.41,1803.69,2024-03-14,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00011,CLI0094,PRD0058,9,118.62,1067.58,2024-02-10,livrée,CB,Auvergne-RA
CMD-Q1-00012,CLI0121,PRD0076,2,211.08,,2024-02-11,annulée,CB,Île-de-France
CMD-Q1-00013,CLI0474,PRD0130,4,186.38,745.52,2024-02-28,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00014,CLI0208,PRD0090,5,80.66,403.3,2024-02-05,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00015,CLI0228,PRD0143,3,104.0,312.0,2024-02-16,livrée,CB,Auvergne-RA
CMD-Q1-00016,CLI0224,PRD0150,2,81.48,162.96,2024-01-16,livrée,Chèque,Occitanie
CMD-Q1-00017,CLI0231,PRD0073,4,200.41,801.64,2024-01-19,livrée,Chèque,Île-de-France
CMD-Q1-00018,CLI0477,PRD0068,6,12.48,74.88,2024-02-13,livrée,PayPal,Auvergne-RA
CMD-Q1-00019,CLI0181,PRD0095,3,106.83,320.49,2024-02-01,livrée,CB,Auvergne-RA
CMD-Q1-00020,CLI0395,PRD0129,8,124.46,995.68,2024-03-25,en_cours,CB,Auvergne-RA
CMD-Q1-00021,CLI0106,PRD0130,7,186.38,1304.66,2024-01-24,livrée,CB,PACA
CMD-Q1-00022,CLI0144,PRD0049,2,65.78,131.56,2024-01-02,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00023,CLI0185,PRD0022,5,235.27,1176.35,2024-03-24,en_cours,CB,Auvergne-RA
CMD-Q1-00024,CLI0039,PRD0020,9,304.72,2742.48,2024-02-29,en_cours,Virement,Nouvelle-Aquitaine
CMD-Q1-00025,CLI0359,PRD0125,4,31.95,127.8,2024-01-24,livrée,CB,Occitanie
CMD-Q1-00026,CLI0206,PRD0022,4,235.27,941.08,2024-03-20,retournée,Virement,Île-de-France
CMD-Q1-00027,CLI0104,PRD0149,5,123.18,615.9,2024-03-18,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00028,CLI0495,PRD0054,9,124.37,1119.33,2024-02-13,livrée,CB,Nouvelle-Aquitaine
CMD-Q1-00029,CLI0438,PRD0110,3,126.57,379.71,2024-03-02,livrée,Chèque,PACA
CMD-Q1-00030,CLI0072,PRD0089,5,93.09,465.45,2024-01-01,livrée,CB,PACA
CMD-Q1-00031,CLI0058,PRD0127,3,63.31,189.93,2024-02-22,livrée,CB,Occitanie
CMD-Q1-00032,CLI0276,PRD0109,4,18.3,73.2,2024-03-13,en_cours,CB,PACA
CMD-Q1-00033,CLI0342,PRD0109,5,18.3,91.5,2024-02-12,livrée,CB,Auvergne-RA
