commande_id,client_id,produit_id,quantite,prix_unitaire,montant_total,date_commande,statut,moyen_paiement,region_livraison,devise
CMD-Q2-00001,CLI0122,PRD0041,5,48.15,240.75,2024-05-14,retournée,CB,Auvergne-RA,EUR
CMD-Q2-00002,CLI0346,PRD0106,1,52.42,52.42,2024-04-18,livrée,CB,PACA,EUR
CMD-Q2-00003,CLI0282,PRD0021,8,78.18,625.44,2024-05-05,annulée,CB,Occitanie,EUR
CMD-Q2-00004,CLI0292,PRD0141,9,326.57,2939.13,2024-05-31,livrée,Chèque,Occitanie,EUR
CMD-Q2-00005,CLI0392,PRD0054,5,124.37,621.85,2024-06-27,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00006,CLI0457,PRD0055,7,45.75,320.25,2024-05-06,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00007,CLI0135,PRD0144,5,212.05,1060.25,2024-04-15,livrée,CB,Île-de-France,EUR
CMD-Q2-00008,CLI0316,PRD0065,6,352.58,2115.48,2024-04-08,livrée,PayPal,Occitanie,EUR
CMD-Q2-00009,CLI0009,PRD0053,9,79.12,712.08,2024-06-14,en_cours,CB,Auvergne-RA,EUR
CMD-Q2-00010,CLI0326,PRD0023,5,163.48,817.4,2024-04-16,livrée,CB,Occitanie,EUR
CMD-Q2-00011,CLI0368,PRD0130,4,186.38,745.52,2024-04-26,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00012,CLI0033,PRD0064,5,107.08,535.4,2024-05-28,en_cours,CB,Occitanie,EUR
CMD-Q2-00013,CLI0192,PRD0010,8,81.94,655.52,2024-05-30,livrée,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00014,CLI0157,PRD0003,5,83.45,,2024-06-07,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00015,CLI0182,PRD0125,1,31.95,31.95,2024-06-19,livrée,CB,Occitanie,EUR
CMD-Q2-00016,CLI0111,PRD0072,8,121.78,974.24,2024-05-24,livrée,CB,Occitanie,EUR
CMD-Q2-00017,CLI0132,PRD0065,1,352.58,352.58,2024-04-09,en_cours,Chèque,Île-de-France,EUR
CMD-Q2-00018,CLI0357,PRD0023,5,163.48,817.4,2024-06-06,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00019,CLI0056,PRD0113,5,82.62,413.1,2024-04-26,livrée,Virement,Occitanie,EUR
CMD-Q2-00020,CLI0239,PRD0079,1,400.46,400.46,2024-05-30,livrée,CB,Occitanie,EUR
CMD-Q2-00021,CLI0222,PRD0052,8,118.68,949.44,2024-04-16,livrée,Virement,Occitanie,EUR
CMD-Q2-00022,CLI0302,PRD0122,7,108.11,756.77,2024-06-11,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00023,CLI0450,PRD0024,4,20.71,82.84,2024-06-02,livrée,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00024,CLI0016,PRD0018,9,121.33,1091.97,2024-05-21,livrée,CB,Occitanie,EUR
CMD-Q2-00025,CLI0058,PRD0113,5,82.62,413.1,2024-05-07,livrée,CB,PACA,EUR
CMD-Q2-00026,CLI0386,PRD0032,6,109.17,655.02,2024-04-18,livrée,Virement,Occitanie,EUR
CMD-Q2-00027,CLI0193,PRD0013,9,59.14,532.26,2024-06-02,livrée,Chèque,Île-de-France,EUR
CMD-Q2-00028,CLI0214,PRD0032,4,109.17,436.68,2024-04-09,livrée,CB,PACA,EUR
CMD-Q2-00029,CLI0045,PRD0006,6,79.23,475.38,2024-05-29,livrée,CB,Île-de-France,EUR
CMD-Q2-00030,CLI0469,PRD0002,4,135.96,,2024-06-15,livrée,Virement,Île-de-France,EUR
CMD-Q2-00031,CLI0173,PRD0106,1,52.42,52.42,2024-05-02,livrée,CB,Île-de-France,EUR
CMD-Q2-00032,CLI0046,PRD0143,6,104.0,624.0,2024-06-04,livrée,CB,Occitanie,EUR
CMD-Q2-00033,CLI0087,PRD0015,7,80.47,563.29,2024-04-23,livrée,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00034,CLI0486,PRD0091,9,75.28,677.52,2024-06-24,livrée,CB,Occitanie,EUR
CMD-Q2-00035,CLI0263,PRD0097,6,149.62,897.72,2024-05-30,livrée,Virement,Occitanie,EUR
CMD-Q2-00036,CLI0166,PRD0137,7,54.72,383.04,2024-05-15,livrée,Chèque,Île-de-France,EUR
CMD-Q2-00037,CLI0132,PRD0103,5,57.7,288.5,2024-04-01,livrée,PayPal,Occitanie,EUR
CMD-Q2-00038,CLI0408,PRD0024,8,20.71,165.68,2024-04-10,livrée,CB,Nouvelle-Aquitaine,EUR
CMD-Q2-00039,CLI0068,PRD0104,3,81.27,243.81,2024-05-24,en_cours,CB,Occitanie,EUR
CMD-Q2-00040,CLI0172,PRD0081,5,49.36,246.8,2024-06-01,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00041,CLI0471,PRD0075,2,71.64,143.28,2024-04-24,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00042,CLI0091,PRD0124,8,55.52,444.16,2024-04-08,livrée,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00043,CLI0077,PRD0109,3,18.3,54.9,2024-04-17,retournée,CB,Île-de-France,EUR
CMD-Q2-00044,CLI9973,PRD0040,4,71.91,287.64,2024-06-04,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00045,CLI0472,PRD0090,3,80.66,241.98,2024-04-09,livrée,CB,Occitanie,EUR
CMD-Q2-00046,CLI0192,PRD0108,7,100.76,705.32,2024/05/30,livrée,CB,Occitanie,EUR
CMD-Q2-00047,CLI0350,PRD0135,3,112.71,338.13,2024-04-24,livrée,CB,PACA,EUR
CMD-Q2-00048,CLI0223,PRD0125,4,31.95,127.8,2024-06-11,annulée,CB,PACA,EUR
CMD-Q2-00049,CLI0269,PRD0146,6,30.77,184.62,2024-05-26,livrée,CB,Île-de-France,EUR
CMD-Q2-00050,CLI0192,PRD0121,3,34.92,104.76,2024-05-01,en_cours,CB,Île-de-France,EUR
CMD-Q2-00051,CLI0024,PRD0047,2,68.36,136.72,2024-06-19,annulée,CB,PACA,EUR
CMD-Q2-00052,CLI0491,PRD0008,1,308.27,308.27,2024-06-27,,PayPal,Occitanie,EUR
CMD-Q2-00053,CLI0030,PRD0020,3,304.72,914.16,2024-05-14,en_cours,CB,Occitanie,EUR
CMD-Q2-00054,CLI0208,PRD0039,9,29.83,268.47,2024-05-11,livrée,CB,Auvergne-RA,EUR
CMD-Q2-00055,CLI0012,PRD0074,8,101.69,813.52,2024-06-20,livrée,CB,PACA,EUR
CMD-Q2-00056,CLI0175,PRD0046,2,69.9,139.8,2024-04-26,en_cours,CB,Île-de-France,EUR
CMD-Q2-00057,CLI0470,PRD0117,6,69.72,418.32,2024-06-23,livrée,CB,Nouvelle-Aquitaine,EUR
CMD-Q2-00058,CLI0250,PRD0138,9,67.74,609.66,2024-04-22,annulée,Virement,Nouvelle-Aquitaine,EUR
CMD-Q2-00059,CLI0310,PRD0050,9,27.92,251.28,2024-05-28,livrée,CB,Nouvelle-Aquitaine,EUR
CMD-Q2-00060,CLI0068,PRD0019,8,62.97,503.76,2024-06-08,livrée,CB,PACA,EUR
CMD-Q2-00061,CLI0149,PRD0072,1,121.78,121.78,2024-05-21,livrée,PayPal,Nouvelle-Aquitaine,EUR
CMD-Q2-00062,CLI0418,PRD0004,3,42.82,128.46,2024-04-24,livrée,CB,PACA,EUR
CMD-Q2-00063,CLI0489,PRD0140,7,84.52,591.64,2024-05-07,livrée,Chèque,Nouvelle-Aquitaine,EUR
CMD-Q2-00064,CLI0147,PRD0113,5,82.62,413.1,2024-05-24,livrée,Virement,Île-de-France,EUR
CMD-Q2-00065,CLI0406,PRD0084,7,410.52,2873.64,2024-04-29,livrée,PayPal,Nouvelle-Aquitaine,EUR
CMD-Q2-00066,CLI0230,PRD0125,4,31.95,127.8,2024-06-26,livrée,CB,Île-de-France,EUR
CMD-Q2-00067,CLI0083,PRD0127,5,63.31,316.55,2024-04-12,en_cours,CB,PACA,EUR
CMD-Q2-00068,CLI0019,PRD0081,7,49.36,345.52,2024-06-14,livrée,Virement,PACA,EUR
CMD-Q2-00069,CLI0311,PRD0019,8,62.97,503.76,2024-05-16,en_cours,CB,Occitanie,EUR
CMD-Q2-00070,CLI0047,PRD0141,1,326.57,326.57,2024-04-28,en_cours,CB,Île-de-France,EUR
