,id_mutation,date_mutation,nature_mutation,valeur_fonciere,commune,surface_reelle_bati,nombre_pieces_principales,type_local,code_postal,longitude,latitude,code_departement
0,2023A00000,2023-01-01,Vente,109895.25654514949,Lyon,42.13093142329866,2.0,Maison,69001.0,0.04474492878019021,43.400580494240046,69
1,2023A00001,2023-01-01,VEFA,136610.39740996546,Strasbourg,40.85676482833255,4.0,Maison,67000.0,0.650477047550833,43.89077774929843,67
2,2023A00002,2023-01-01,Vente,338842.72686407366,Nantes,31.843010841250106,4.0,Maison,44000.0,,47.38084420912591,44
3,2023A00003,2023-01-01,Vente,132677.41424529438,Nantes,69.50040035242164,3.0,Appartement,44000.0,6.183362190250058,42.46505200304989,44
4,2023A00004,2023-01-01,Vente,523127.54390871036,Strasbourg,,3.0,Local industriel,67000.0,7.5150694089839245,47.57824899372497,67
5,2023A00005,2023-01-01,Vente,257127.62231465086,Bordeaux,88.62130669489794,1.0,Local industriel,33000.0,2.4597457365155924,45.10647125252269,33
6,2023A00006,2023-01-01,Vente,282478.24630306475,Paris,48.79961771916124,5.0,Maison,75001.0,2.8898569352037295,49.623416450275215,75
7,2023A00007,2023-01-01,Vente,227061.50784614924,Nantes,32.16165020341191,,Maison,44000.0,-3.6048645282293736,47.58005726801242,44
8,2023A00008,2023-01-01,Vente,426645.4857091375,Bordeaux,48.47717453048512,3.0,Maison,33000.0,4.557537490184707,48.53120256626711,33
9,2023A00009,2023-01-01,Vente,429293.42251049983,Paris,44.459177137298205,5.0,Appartement,75001.0,2.918055686643867,43.306941594893914,75
10,2023A00010,2023-01-01,Vente,328086.51280741626,Strasbourg,90.42779670998694,2.0,Local industriel,67000.0,-3.8599895476434756,44.639588809198855,67
11,2023A00011,2023-01-01,VEFA,376575.3592427696,Lyon,45.399446138221165,4.0,Appartement,69001.0,-1.9799940281893686,51.07069255895392,69
12,2023A00012,2023-01-02,Vente,236273.70951306407,Nantes,,6.0,Maison,44000.0,-1.9353185610144532,46.11613977280117,44
